10826.24;15.53
10907.35;50.13
11508.40;11.02
12128.00;51.89
12992.00;51.08
13006.40;23.54
13147.30;17.60
14022.30;21.89
14590.70;40.16
15266.59;36.36
15267.35;48.75
18386.25;49.61
19082.35;45.65
19450.25;28.98
2160000016.30;24.87
20717.34;43.88
21087.90;17.79
21806.59;32.58
23987.35;43.43
23987.35;57.01
24531.60;45.63
25004.95;37.51
26167.35;51.06
3406.30;11.02
3496.55;23.16
4306.40;15.10
4503.75;9.36
43606.60;38.40
5386.00;4.40
5780.55;27.66
5905.45;11.30
6447.45;1.18
6489.50;17.40
6617.15;7.34
7006.45;2.20
7108.40;17.54
7285.30;17.79
77019.65;67.63
8185.90;9.56
9021.75;62.45
